@attribute ROOM {2151,2152,2153,2131,2130,2123,2124,}

@data

61,74,85,89,0,61,75,85,87,0,81,0,82,0,73,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,91,0,0,0,0,0,0,0,0,0,0,2131
55,72,78,89,0,55,72,79,87,0,81,0,82,0,74,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,90,90,0,0,0,0,0,0,0,0,0,0,2131
51,69,84,78,0,51,69,84,80,0,78,0,78,0,77,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,85,0,87,87,0,0,0,0,0,0,0,0,0,0,2131
48,75,85,84,0,47,73,87,84,0,78,0,78,0,72,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,87,87,0,0,0,0,0,0,0,0,0,0,2131
49,69,85,88,0,49,69,87,87,0,0,0,0,0,72,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
53,74,85,85,0,53,75,84,85,0,81,0,79,0,79,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
56,72,80,92,0,56,72,80,89,0,82,0,80,0,75,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,87,0,0,90,92,0,0,0,0,0,0,0,0,0,0,2131
56,69,82,86,0,56,68,83,86,0,82,0,81,0,75,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,87,0,0,90,92,0,0,0,0,0,0,0,0,0,0,2131
52,69,82,86,0,53,69,83,86,0,82,0,81,0,74,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
54,71,0,86,0,55,72,0,88,0,78,0,76,0,72,0,0,72,0,88,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
49,69,0,84,0,49,69,0,83,0,80,0,81,0,76,0,0,76,0,88,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
46,73,82,85,0,47,73,83,84,0,79,0,78,0,75,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
49,66,81,85,0,49,68,82,84,0,79,0,79,0,77,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,90,88,0,0,0,0,0,0,0,0,0,0,2131
57,75,81,85,0,58,76,81,85,0,80,0,79,0,74,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,90,88,0,0,0,0,0,0,0,0,0,0,2131
50,70,81,82,0,50,71,82,84,0,76,0,79,0,72,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,2131
50,78,90,84,0,50,78,77,84,0,80,0,80,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,89,0,0,0,0,0,0,0,0,0,0,2131
52,73,80,78,0,52,74,80,78,0,78,0,86,0,74,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,86,0,0,0,0,0,0,0,0,0,0,2131
49,72,0,89,0,49,73,0,89,0,73,0,84,0,72,0,0,72,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,2131
54,67,79,89,0,53,67,80,89,0,77,0,76,0,70,0,0,70,0,90,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,2131
