@relation _tm450

@attribute 00:1b:11:a8:31:ec integer
@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:38:fa:1c integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:37:bb:1c integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:1c integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 6c:aa:b3:77:bb:1c integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 14:30:c6:3e:e5:7c integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 6c:aa:b3:b8:fa:17 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 84:18:3a:2c:55:88 integer
@attribute 84:18:3a:6c:55:88 integer
@attribute 84:18:3a:29:05:3c integer
@attribute 84:18:3a:69:05:3c integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 00:0e:8f:18:9a:93 integer

@attribute ROOM {4041,4040,4039,4038,4007,4022,4006,4023,4005,}

@data
0,46,0,57,70,0,86,78,46,0,58,71,0,87,79,0,0,0,0,0,0,0,0,0,0,0,89,89,0,0,0,0,4041
0,40,0,63,53,0,87,76,41,0,64,53,0,92,76,84,0,86,0,90,88,91,0,0,0,0,74,74,0,0,0,0,4041
0,48,0,48,75,0,80,71,48,0,49,76,0,79,71,72,0,74,0,0,0,0,0,83,0,0,81,81,0,91,0,0,4038
0,64,0,56,0,0,74,71,63,0,54,0,0,75,71,72,0,74,0,0,0,0,0,0,0,0,83,84,84,85,0,0,4038
0,54,0,52,79,0,78,79,54,0,52,82,0,79,78,0,0,0,0,0,0,0,0,0,0,0,78,78,84,85,0,0,4038
0,55,0,52,79,0,76,79,57,0,52,83,0,77,78,0,0,0,0,0,0,0,0,88,0,0,84,84,0,0,0,0,4038
0,49,0,56,77,0,76,0,49,0,56,77,0,77,0,0,0,0,0,0,0,0,0,88,0,0,85,84,0,0,0,0,4038
0,49,0,56,80,0,74,83,49,0,56,78,0,75,84,79,0,78,0,0,0,0,0,0,0,0,88,89,92,92,0,0,4038
0,58,0,49,80,0,81,86,57,0,49,78,0,80,85,79,0,78,0,0,0,0,0,0,0,0,83,83,85,85,0,0,4038
0,57,0,47,0,0,71,84,58,0,46,0,0,71,81,0,0,0,0,0,0,0,85,83,0,0,88,87,82,83,0,0,4038
0,49,0,52,0,0,74,85,50,0,52,85,0,75,86,79,0,81,0,0,0,0,85,83,0,0,76,76,82,83,0,0,4038
0,61,0,58,78,0,80,76,60,0,58,77,0,80,77,79,0,81,0,0,0,0,0,0,0,0,82,81,0,0,0,0,4039
0,53,0,53,78,0,80,76,53,0,53,79,0,80,77,82,0,82,0,0,0,0,88,90,0,0,81,82,0,0,0,0,4039
0,48,0,59,78,0,83,83,48,0,58,79,0,83,81,82,0,82,0,0,0,0,88,90,0,0,80,79,92,91,0,0,4039
0,55,0,55,75,0,85,83,54,0,55,76,0,83,81,0,0,0,0,0,0,0,0,0,0,0,83,83,92,91,0,0,4039
0,52,0,53,73,0,85,80,52,0,54,75,0,73,79,0,0,0,0,0,0,0,0,0,0,0,78,78,0,0,0,0,4039
0,41,0,67,73,0,0,76,41,0,68,72,0,73,76,0,0,0,0,0,0,0,0,0,0,0,78,78,0,0,0,0,4040
0,53,0,57,65,0,77,77,53,0,57,67,0,77,79,79,0,78,0,0,0,0,0,0,0,0,79,79,0,0,0,0,4040
0,47,0,63,73,0,82,83,47,0,62,67,0,82,82,79,0,78,0,0,0,0,0,0,0,0,82,82,0,0,0,0,4040
0,51,0,56,73,0,82,83,52,0,56,73,0,82,82,0,0,0,0,0,0,0,0,0,0,0,89,92,0,0,0,0,4040
0,46,0,52,77,0,77,0,46,0,52,74,0,76,0,81,0,80,0,0,0,0,0,0,0,0,78,77,0,0,0,0,4040
0,53,0,68,78,0,80,82,52,0,68,79,0,80,85,81,0,80,0,0,0,0,0,0,0,0,89,89,0,0,0,0,4040
0,45,0,64,66,0,80,82,45,0,64,74,0,80,85,74,0,74,0,0,0,0,83,83,0,0,75,74,0,0,0,0,4040
0,35,0,61,0,0,0,0,35,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,4041
0,37,0,56,75,0,0,73,36,0,56,64,0,0,75,0,0,0,0,0,0,0,80,83,0,0,75,75,0,0,0,0,4041
0,47,0,54,75,0,83,80,47,0,54,70,0,81,80,0,0,0,0,0,0,0,80,83,0,0,81,79,0,0,0,0,4041
0,35,0,65,54,0,83,70,35,0,65,55,0,81,70,0,0,0,0,0,0,0,0,85,0,0,70,71,0,0,0,0,4041
0,36,0,52,54,0,85,74,37,0,52,54,0,84,73,78,0,76,0,0,0,0,84,85,0,0,76,77,0,0,0,0,4041
0,26,0,59,57,0,85,75,26,0,59,58,0,84,75,78,0,76,0,86,88,86,84,0,0,0,83,84,0,0,0,0,4041
0,36,0,59,53,0,0,73,35,0,59,53,0,0,75,0,0,0,0,86,88,86,0,0,0,0,87,86,0,0,0,0,4041
61,45,0,59,77,0,85,83,46,0,59,76,0,85,82,83,0,85,0,0,0,0,91,0,0,0,0,0,0,0,0,0,4039
58,35,0,62,52,0,88,83,35,0,61,52,0,89,82,84,0,83,0,0,83,0,0,0,0,0,0,0,0,0,0,0,4041
53,34,0,59,46,0,83,70,34,0,58,46,0,83,72,76,0,76,0,85,84,84,0,0,0,0,0,0,0,0,0,0,4041
58,36,0,61,55,0,79,75,35,0,60,55,0,80,76,76,0,76,0,87,88,84,81,82,0,0,0,0,0,0,0,0,4041
63,19,0,61,57,0,86,72,20,0,61,58,0,80,72,76,0,75,0,86,85,86,86,86,0,0,0,0,0,0,0,0,4041
62,36,0,59,57,0,84,68,37,0,59,56,0,83,69,75,0,75,0,77,76,77,85,86,91,0,0,0,0,0,0,0,4041
56,36,0,46,53,0,86,83,36,0,46,54,0,84,84,75,0,0,0,88,88,86,85,0,91,0,0,0,0,0,0,0,4041
61,25,0,58,55,0,86,77,25,0,57,56,0,84,76,85,0,84,0,88,88,86,0,0,0,0,0,0,0,0,0,0,4041
60,38,0,57,54,0,0,73,38,0,58,54,0,0,72,76,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
62,26,0,53,58,0,0,75,25,0,54,58,0,0,73,76,0,81,0,0,0,0,80,0,0,0,0,0,0,0,0,0,4041
56,39,0,53,63,0,0,81,40,0,53,62,0,0,83,0,0,81,0,0,0,0,80,0,0,0,0,0,0,0,0,0,4041
61,35,0,56,56,0,0,74,35,0,56,61,0,0,73,71,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
61,33,0,62,51,0,0,75,33,0,62,52,0,0,76,80,0,80,0,0,85,86,0,0,0,0,0,0,0,0,0,0,4041
