@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data

0,0,0,0,84,54,54,85,73,77,0,72,78,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,85,55,56,86,77,0,87,77,84,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
83,84,0,0,78,55,55,78,73,0,88,73,84,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
90,90,0,0,85,62,62,86,72,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,83,0,0,0,0,2123
81,81,0,0,83,56,57,81,78,0,0,77,0,88,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,83,0,0,0,0,2123
81,81,0,0,83,58,58,81,72,0,0,72,0,88,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,2123
81,81,0,0,79,54,59,79,76,82,0,76,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,2123
81,81,90,89,79,46,46,79,71,84,0,70,85,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
79,80,90,89,78,57,58,78,76,84,84,76,85,82,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
86,85,0,0,79,53,54,81,75,84,84,75,85,82,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2123
90,86,95,93,79,58,58,81,67,77,0,67,77,0,76,76,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2123
83,83,85,86,79,55,55,79,70,77,85,70,77,85,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,2123
80,80,0,0,74,40,40,74,73,70,0,73,70,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,77,78,84,84,0,0,2124
80,80,0,0,82,50,51,83,75,81,0,74,79,0,75,75,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,77,78,84,84,80,0,2124
0,0,0,0,76,48,49,77,70,78,0,69,79,0,70,70,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,90,0,0,80,0,2124
0,0,0,0,78,47,47,78,71,85,0,73,84,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,90,0,0,0,0,2124
0,0,0,0,76,55,55,76,71,81,0,69,80,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,80,0,0,0,0,0,2124
0,0,0,0,81,60,60,84,77,78,0,77,78,0,74,74,0,81,0,0,90,0,0,0,0,0,0,0,0,82,84,0,0,0,0,83,0,71,80,78,0,88,0,79,2124
83,85,0,0,72,56,54,72,69,80,0,71,80,0,78,78,0,81,0,0,90,0,0,0,0,0,0,0,0,82,84,0,0,0,0,83,0,71,0,84,0,88,0,79,2124
83,83,0,0,76,49,50,76,69,80,0,69,80,0,79,80,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,84,0,0,0,0,2124
80,79,92,91,69,55,54,69,61,85,0,61,83,0,79,80,0,0,78,78,84,0,0,0,0,0,0,0,0,85,83,0,0,0,0,88,0,78,0,0,88,0,0,0,2124
